"Date","Price","Open","High","Low","Vol.","Change %"
"12/18/2025","1.1725","1.1742","1.1763","1.1713","","-0.13%"
"12/17/2025","1.1740","1.1747","1.1759","1.1703","","-0.06%"
"12/16/2025","1.1747","1.1753","1.1804","1.1735","","-0.05%"
"12/15/2025","1.1753","1.1739","1.1769","1.1726","","0.11%"
"12/12/2025","1.1740","1.1738","1.1750","1.1719","","0.02%"
"12/11/2025","1.1738","1.1696","1.1763","1.1682","","0.36%"
"12/10/2025","1.1696","1.1627","1.1701","1.1622","","0.59%"
"12/09/2025","1.1627","1.1637","1.1658","1.1615","","-0.09%"
"12/08/2025","1.1637","1.1645","1.1673","1.1616","","-0.05%"
"12/05/2025","1.1643","1.1644","1.1672","1.1628","","-0.01%"
"12/04/2025","1.1644","1.1670","1.1683","1.1641","","-0.24%"
"12/03/2025","1.1672","1.1626","1.1677","1.1620","","0.41%"
"12/02/2025","1.1624","1.1610","1.1627","1.1591","","0.11%"
"12/01/2025","1.1611","1.1596","1.1652","1.1589","","0.13%"
"11/28/2025","1.1596","1.1595","1.1609","1.1555","","0.01%"
"11/27/2025","1.1595","1.1595","1.1614","1.1576","","0.00%"
"11/26/2025","1.1595","1.1571","1.1601","1.1547","","0.21%"
"11/25/2025","1.1571","1.1521","1.1586","1.1511","","0.43%"
"11/24/2025","1.1521","1.1513","1.1551","1.1502","","0.07%"
"11/21/2025","1.1513","1.1529","1.1553","1.1490","","-0.14%"
"11/20/2025","1.1529","1.1537","1.1550","1.1507","","-0.08%"
"11/19/2025","1.1538","1.1581","1.1598","1.1518","","-0.37%"
"11/18/2025","1.1581","1.1592","1.1608","1.1571","","-0.09%"